Artist,Title,Year,Instrument,Genre,ID,Danceability,Energy,Valence,Tempo,Duration_MS
N.W.A,Straight Outta Compton,1988,Drums,Hip-Hop / Rap / R&B,6KIKRz9eSTXdNsGUnomdtW,0.833,0.874,0.414,102.866,258688.0
Skrillex,Scary Monsters and Nice Sprites (The Juggernaut Remix),2011,Drums,Electronic / Dance,73LjHkIsz1EcT9bn8z0cRU,0.327,0.957,0.419,139.963,233736.0
"Tyler, the Creator",Pigs,2013,Drums,Hip-Hop / Rap / R&B,5L4n81Ecf8UE837uJkuoJJ,0.441,0.737,0.488,78.462,254733.0
The Prodigy,Poison,1994,Drums,Electronic / Dance,3fbGWIAvf1BNz5nN5TONxY,0.704,0.949,0.248,104.019,402467.0
The Queenstons,Ready,2012,Multiple Elements,Electronic / Dance,,,,,,
Jay-Z,Can't Knock the Hustle (Desired State Remix),1996,Drums,Electronic / Dance,,,,,,
Mantronix,King of the Beats,1988,Drums,Hip-Hop / Rap / R&B,3Miruku2Myz4Rb40y1XpI7,0.751,0.568,0.651,119.305,106840.0
Slipknot,Eyeless,1999,Drums,Rock / Pop,7MEHTWzEi3z7P2jEWAcdHZ,0.293,0.997,0.13,100.348,236360.0
Snow,Informer,1992,Drums,Hip-Hop / Rap / R&B,2LjiPAQOVazT8sRyXL3XRs,0.763,0.742,0.483,98.145,268910.0
The Prodigy,Mindfields,1997,Drums,Electronic / Dance,305KnbiRHnrhMXTRpfsE2J,0.663,0.975,0.405,120.043,339907.0
Christopher Tyng,Futurama Theme,1999,Drums,Soundtrack,,,,,,
Skrillex,I Know Who You Are,2009,Drums,Electronic / Dance,,,,,,
Salt-N-Pepa,I Desire,1986,Drums,Hip-Hop / Rap / R&B,5shA011zfYhyUDe8yINvKJ,0.767,0.963,0.138,99.647,235840.0
Lupe Fiasco,Streets on Fire,2007,Drums,Hip-Hop / Rap / R&B,1fNpOEgu770UrRTzeVsKZT,0.665,0.982,0.46,110.091,279973.0
Martin Garrix,Animals (Oliver Heldens Remix),2014,Drums,Electronic / Dance,7qf3VKqcN2retPfpdMGHNu,0.669,0.95,0.52,128.01,262813.0
Zomboy,Nuclear (Hands Up),2012,Drums,Electronic / Dance,32AV76N8GhpnJ74VoYfDGk,0.499,0.969,0.526,174.019,316209.0
UK Apachi and Shy FX,Original Nuttah,1994,Drums,Electronic / Dance,,,,,,
Big K.R.I.T.,Red Eye,2012,Drums,Hip-Hop / Rap / R&B,1x7tGNqF2SxAOlCHzqEZLe,0.732,0.657,0.0909,94.988,169280.0
Plan B,Ill Manors,2012,Drums,Hip-Hop / Rap / R&B,2KWQfdVI2XTLYhW3zMiCHB,0.746,0.92,0.707,133.921,226040.0
Stetsasonic,Bust That Groove,1986,Hook / Riff,Hip-Hop / Rap / R&B,5VaReqAPu69zOBzt6uCBq7,0.809,0.896,0.774,179.912,350800.0
La Roux,In for the Kill (Skream's Let's Get Ravey Remix),2009,Drums,Electronic / Dance,46SNlNPyoPOF19hGF4dbBD,0.432,0.59,0.0794,145.475,301600.0
Slipknot,Pulse of the Maggots,2004,Drums,Rock / Pop,0at89DgpVeImkVrQ0htbVm,0.218,0.994,0.112,87.469,259733.0
Squarepusher,Come on My Selector,1997,Drums,Electronic / Dance,6lUoKi6r3AY4ECxPOqVs7F,0.58,0.902,0.833,95.024,204800.0
DJ Shadow,Lesson 4,1991,Drums,Hip-Hop / Rap / R&B,,,,,,
Hoso-Q,Dirty City (Tokyo Stage),1995,Drums,Soundtrack,,,,,,
Amon Tobin,Nightlife,1998,Drums,Electronic / Dance,1xZWd0EYAK16JpRdguF4Nr,0.601,0.548,0.219,82.488,389613.0
DJ Zinc,Super Sharp Shooter,1995,Drums,Electronic / Dance,5hbyKYju1ZZegFG87Efqb6,0.622,0.894,0.419,123.018,403927.0
Technohead,I Wanna Be a Hippy (Flamman & Abraxis Mix),1995,Drums,Electronic / Dance,,,,,,
Annoying Ringtone,Unhappy Customer,2013,Multiple Elements,Electronic / Dance,,,,,,
Annoying Ringtone,Ambientone,2013,Multiple Elements,Electronic / Dance,,,,,,
Galantis,No Money,2016,Drums,Electronic / Dance,0gb1J5UrTpzaU1s3nupgCd,0.671,0.916,0.803,126.01,189127.0
Amon Tobin,Creatures,1997,Drums,Electronic / Dance,0uRgZ722itgHP1ziWqa1ZK,0.545,0.751,0.838,155.077,230800.0
3rd Bass,Wordz of Wizdom,1989,Drums,Hip-Hop / Rap / R&B,4db7SU1762kwi013LJWvpf,0.785,0.821,0.402,103.132,391256.0
C418,If You Don't Know What to Do Just Steal the Amen Break,2010,Drums,Electronic / Dance,,,,,,
